Talk_ID,public_url,headline,description,duration,published,tags,views,speaker_1,speaker1_occupation,occupation_categorized,occupation_broader
2362,https://www.ted.com/talks/nancy_lublin_the_heartbreaking_text_that_inspired_a_crisis_help_line,How data from a crisis text line is saving lives,"When a young woman texted DoSomething.org with a heartbreaking cry for help, the organization responded by opening a nationwide Crisis Text Line for people in pain. Nearly 10 million text messages later, the organization is using the privacy and power of text messaging to help people handle addiction, suicidal thoughts, eating disorders, sexual abuse and more. But there's an even bigger win: The anonymous data collected by text is teaching us when crises are most likely to happen -- and helping schools and law enforcement to prepare for them.",0:09:39,11/2/15,"pain,policy,big problems,activism,data,youth,technology,communication,society",858173,Nancy Lublin,Activist,Activist,Activist
85,https://www.ted.com/talks/bill_clinton_on_rebuilding_rwanda,My wish: Rebuilding Rwanda,"Accepting the 2007 TED Prize, Bill Clinton asks for help in bringing health care to Rwanda -- and the rest of the world.",0:24:07,4/3/07,"TED Prize,global issues,health care,economics,Africa,culture,business,technology",866296,Bill Clinton,Activist,Activist,Activist
1430,https://www.ted.com/talks/nancy_lublin_texting_that_saves_lives,Texting that saves lives,"When Nancy Lublin started texting teenagers to help with her social advocacy organization, what she found was shocking -- they started texting back about their own problems, from bullying to depression to abuse. So she's setting up a text-only crisis line, and the results might be even more important than she expected.",0:05:24,4/27/12,"bullying,global issues,activism,health,youth,culture",1018771,Nancy Lublin,Activist,Activist,Activist
2295,https://www.ted.com/talks/memory_banda_a_warrior_s_cry_against_child_marriage,A warrior's cry against child marriage,"Memory Banda's life took a divergent path from her sister's. When her sister reached puberty, she was sent to a traditional ""initiation camp"" that teaches girls ""how to sexually please a man."" She got pregnant there ... at age 11. Banda, however, refused to go. Instead, she organized others and asked her community's leader to issue a bylaw that no girl should be forced to marry before turning 18. She pushed on to the national level ... with incredible results for girls across Malawi.",0:12:38,7/7/15,"global issues,violence,children,women",1288368,Memory Banda,Activist,Activist,Activist
2681,https://www.ted.com/talks/sue_klebold_my_son_was_a_columbine_shooter_this_is_my_story,My son was a Columbine shooter. This is my story,"Sue Klebold is the mother of Dylan Klebold, one of the two shooters who committed the Columbine High School massacre, murdering 12 students and a teacher. She's spent years excavating every detail of her family life, trying to understand what she could have done to prevent her son's violence. In this difficult, jarring talk, Klebold explores the intersection between mental health and violence, advocating for parents and professionals to continue to examine the link between suicidal and homicidal thinking.",0:15:18,2/2/17,"guns,pain,personality,big problems,violence,death,activism,mind,brain,mental health,parenting,social change,United States,humanity,society,TEDMED",4062775,Sue Klebold,Activist,Activist,Activist
1694,https://www.ted.com/talks/hyeonseo_lee_my_escape_from_north_korea,My escape from North Korea,"As a child growing up in North Korea, Hyeonseo Lee thought her country was ""the best on the planet."" It wasn't until the famine of the 90s that she began to wonder. She escaped the country at 14, to begin a life in hiding, as a refugee in China. Hers is a harrowing, personal tale of survival and hope -- and a powerful reminder of those who face constant danger, even when the border is far behind.",0:12:15,3/20/13,"Asia,global issues,family,culture",10999109,Hyeonseo Lee,Activist,Activist,Activist
1013,https://www.ted.com/talks/zainab_salbi,"Women, wartime and the dream of peace","In war we often see only the frontline stories of soldiers and combat. AT TEDGlobal 2010, Zainab Salbi tells powerful ""backline"" stories of women who keep everyday life going during conflicts, and calls for women to have a place at the negotiating table once fighting is over.",0:17:46,11/23/10,"iraq,war,global issues,women,drones",528733,Zainab Salbi,Activist and social entrepreneur,Activist,Activist
963,https://www.ted.com/talks/annie_lennox_why_i_am_an_hiv_aids_activist,Why I am an HIV/AIDS activist,"For the last eight years, pop singer Annie Lennox has devoted the majority of her time to her SING campaign, raising awareness and money to combat HIV/AIDS. She shares the experiences that have inspired her, from working with Nelson Mandela to meeting a little African girl in a desperate situation.",0:09:16,9/22/10,"AIDS,HIV,activism,health,Africa,personal growth",504104,Annie Lennox,"Activist, singer-songwriter",Activist,Activist
1096,https://www.ted.com/talks/mark_bezos_a_life_lesson_from_a_volunteer_firefighter,A life lesson from a volunteer firefighter,Volunteer firefighter Mark Bezos tells a story of an act of heroism that didn't go quite as expected -- but that taught him a big lesson: Don't wait to be a hero.,0:04:07,3/16/11,"compassion,culture,community",2474560,Mark Bezos,"Activist, volunteer firefighter",Activist,Activist
2418,https://www.ted.com/talks/melati_and_isabel_wijsen_our_campaign_to_ban_plastic_bags_in_bali,Our campaign to ban plastic bags in Bali,"Plastic bags are essentially indestructible, yet they're used and thrown away with reckless abandon. Most end up in the ocean, where they pollute the water and harm marine life; the rest are burned in garbage piles, where they release harmful dioxins into the atmosphere. Melati and Isabel Wijsen are on a mission to stop plastic bags from suffocating their beautiful island home of Bali. Their efforts -- including petitions, beach cleanups, even a hunger strike -- paid off when they convinced their governor to commit to a plastic bag-free Bali by 2018. ""Don't ever let anyone tell you that you're too young or you won't understand,"" Isabel says to other aspiring activists. ""We're not telling you it's going to be easy. We're telling you it's going to be worth it.""",0:11:00,1/29/16,"big problems,consumerism,plastic,oceans,global development,activism,materials,pollution,environment,youth,sustainability,future,education",1347382,Melati Wijsen,Activists,Activist,Activist
1876,https://www.ted.com/talks/andreas_raptopoulos_no_roads_there_s_a_drone_for_that,No roads? There's a drone for that,"A billion people in the world lack access to all-season roads. Could the structure of the internet provide a model for how to reach them? Andreas Raptopoulos of Matternet thinks so. He introduces a new type of transportation system that uses electric autonomous flying machines to deliver medicine, food, goods and supplies wherever they are needed.",0:09:13,11/21/13,"transportation,infrastructure,drones,technology",1016754,Andreas Raptopoulos,Airborne logistics activist,Activist,Activist
